isbn		52997217.4727778
asterix	(noun)	51966014.9439916
Kokborok	(proper noun)	48536986.8683238
Barma		44654027.9188579
Rajaji		36857774.4031334
rajaji		36857774.4031334
Friulian	(noun)|(proper noun)|(adjective)	25264484.3398224
troubadours	(noun)|(plural)	23729406.7983311
Onrum		22114664.64188
Patippakam		22114664.64188
Peire	(proper noun)	21356274.2220625
Veerashaiva		16502575.5352301
franquin		15723586.8570965
madras	(noun)	14743109.7612533
Kurai		14743109.7612533
Tavam		14743109.7612533
Illai		14743109.7612533
pattu		14561096.0604971
nederlands		14473444.6112685
Franquin		14189578.3832334
Waray		13590356.3231307
Hedayat		12624396.2516387
hebrew		12569081.2999914
suomi	(noun)|(verb)	12082983.4142241
sanskrit	(noun)|(adjective)	12028400.3951882
chinese		11866518.6667029
punjabi		11648876.8483977
Zarrinkoub		11217832.7893425
Insubric		10678137.1110312
Getafix		10162806.1393429
Divan		10139029.4737356
Golshiri		9815526.44799888
Arnaut		9707483.87122335
Navya		9707483.87122335
Folquet		9707397.37366476
Aimeric		9707397.37366476
Champignac		9204050.84317844
Khosrow		9195304.56305815
pahlavi		9114866.6337724
dupuis		8820548.72471267
Thucydides	(proper noun)	8737129.10138617
Bernart	(proper noun)	8736669.02692328
Guiraut		8736657.63629828
tamil	(adjective)|(noun)	8700137.16762608
telugu	(noun)|(adjective)	8683584.79542028
Pilote		8628797.66547978
Farrokhzad		8413415.88302248
bharati		8349881.92756942
chakravarthi		8342294.61799315
andrzej		7884037.80136943
occitan	(noun)|(adjective)	7815759.03009363
josef		7766028.95752556
Kavirajamarga		7765917.89893181
egyptian		7712742.89838584
pali	(noun)|(verb)|(plural)	7712494.79633506
sumerian		7712422.18110068
norse		7712422.18110068
prakrit		7712422.18110068
syriac		7712422.18110068
akkadian		7711987.91352256
plighted	(verb)	7373032.77250671
ramayana		7371793.90577316
Bakshi		7371727.87574386
Govindam		7371641.37818527
Sumathi		7371554.88062667
allatu		7371554.88062667
chakravarti		7371554.88062667
bhatia		7371554.88062667
Thirukkural		7371554.88062667
nirantarac		7371554.88062667
viruntu		7371554.88062667
kaivilakku		7371554.88062667
thirumakal		7371554.88062667
mahabharatha		7371554.88062667
Siraiyil		7371554.88062667
siraiyil		7371554.88062667
vijayam		7371554.88062667
Refuted		7371554.88062667
bhaja		7371554.88062667
celvam		7371554.88062667
galego	(adjective)|(noun)|(proper noun)	7341657.4892872
Marsupilami		7286540.2508496
Timurid		7172764.94614882
hermann		6858016.7378783
Bertran		6797394.99938538
Navodaya		6795264.65912392
franciszek		6795178.16156533
Rajmala		6795178.16156533
Shyamlal		6795178.16156533
Dwivedi		6795178.16156533
eesti	(adjective)|(noun)	6726449.96938118
Vitalstatistix		6711287.07315094
Dehlavi		6390891.21630847
Olrik		6136033.89545229
jaroslav		6080573.78576881
tagalog	(noun)	5913895.80767111
playwriting	(noun)	5833421.10555719
champu		5824697.91687464
Woodyard		5824669.0843551
Jamatia		5824438.42419885
Pranesh		5824438.42419885
yoruba	(noun)	5824438.42419885
Kernewek	(proper noun)	5824438.42419885
malayalam	(noun)|(proper noun)	5824438.42419885
Sudhanya		5824438.42419885
Kaul		5824438.42419885
Boson	(noun)	5824438.42419885
Uc		5824438.42419885
Kaal		5824438.42419885
felibres		5824438.42419885
Kasravi		5611138.92780379
Khusraw		5611138.92780379
Forough		5608979.7550228
Abdolhossein		5608960.53334311
mohammad		5608883.64662436
Houshang		5608872.25599936
Etesami		5608872.25599936
dehkhoda		5608872.25599936
