isbn		34810790434.9348
asterix	(noun)	34133400677.1216
Kokborok	(proper noun)	31881075010.7025
Barma		29330589009.8463
Rajaji		24209691336.2522
rajaji		24209691336.2522
Friulian	(noun)|(proper noun)|(adjective)	16594745004.0467
troubadours	(noun)|(plural)	15586444984.4263
Onrum		14525814801.7513
Patippakam		14525814801.7513
Peire	(proper noun)	14027674042.6798
Veerashaiva		10839565503.6388
franquin		10327893929.393
madras	(noun)	9683876534.50088
Kurai		9683876534.50088
Tavam		9683876534.50088
Illai		9683876534.50088
pattu		9564322503.21074
nederlands		9506771516.65555
Franquin		9320294521.64734
Waray		8926701002.9967
Hedayat		8292218982.50939
hebrew		8255885873.57481
suomi	(noun)|(verb)	7936611027.68863
sanskrit	(noun)|(adjective)	7900744610.45834
chinese		7794414097.74226
punjabi		7651458036.74047
Zarrinkoub		7368330667.15071
Insubric		7013836502.35455
Getafix		6675346076.31499
Divan		6659728595.91043
Golshiri		6447238593.67567
Arnaut		6376272009.48595
Navya		6376271817.26916
Aimeric		6376215148.97277
Folquet		6376215131.88683
Champignac		6045596446.47395
Khosrow		6039851547.5316
pahlavi		5987016625.97292
dupuis		5793696594.53754
Thucydides	(proper noun)	5738903179.44872
Bernart	(proper noun)	5738601151.94379
Guiraut		5738593761.41912
tamil	(adjective)|(noun)	5714605393.97928
telugu	(noun)|(adjective)	5703733119.98894
Pilote		5667746668.56933
Farrokhzad		5526275123.11324
bharati		5484543422.22631
chakravarthi		5479559767.46449
andrzej		5178557977.12713
occitan	(noun)|(adjective)	5133710268.60094
josef		5101045039.23309
Kavirajamarga		5100972001.7124
egyptian		5066044687.45866
pali	(noun)|(verb)|(plural)	5065881536.48894
syriac		5065833842.83772
sumerian		5065833839.83772
norse		5065833839.83772
prakrit		5065833839.83772
akkadian		5065548585.03384
plighted	(verb)	4842909018.37843
ramayana		4842095706.62127
Bakshi		4842051897.50776
Govindam		4841995082.3791
Sumathi		4841938267.25044
allatu		4841938267.25044
chakravarti		4841938267.25044
bhatia		4841938267.25044
Thirukkural		4841938267.25044
nirantarac		4841938267.25044
viruntu		4841938267.25044
kaivilakku		4841938267.25044
thirumakal		4841938267.25044
mahabharatha		4841938267.25044
Siraiyil		4841938267.25044
siraiyil		4841938267.25044
vijayam		4841938267.25044
Refuted		4841938267.25044
bhaja		4841938267.25044
celvam		4841938267.25044
